hash,language,course,text
00154229,de,german-bangla,"Warum lernst du Deutsch?"
001f040a,de,german-bangla,"Er hat Fieber."
0098b953,es,spanish-bangla,"jueves"
00a79fa8,es,spanish-bangla,"veinte"
00b53df8,de,german-bangla,"das Regal"
00ebee90,de,german-bangla,"Er geht einmal im Monat schwimmen."
01345ac2,de,german-bangla,"die Bewerbung"
01650139,de,german-bangla,"staubsaugen"
01ad1025,de,german-bangla,"ankommen"
026e1654,de,german-bangla,"Obwohl es kalt ist, gehen wir wandern."
027116d4,es,spanish-bangla,"Hasta luego"
02d46cfe,de,german-bangla,"die U-Bahn"
02e7665e,de,german-bangla,"Es ist gegenüber der Bank."
031a2f14,de,german-bangla,"fünfzig"
039487a4,es,spanish-bangla,"De nada"
03adc886,de,german-bangla,"Ich trage Größe M."
03b42d3d,de,german-bangla,"Ich fahre mit der U-Bahn."
03ff14b7,de,german-bangla,"Montag"
0412a9b7,de,german-bangla,"Welchen Film möchtest du sehen?"
041621bb,de,german-bangla,"abwaschen"
041f52e2,de,german-bangla,"Ich würde gern das Schnitzel probieren."
04532430,de,german-bangla,"Die Tracht wird bei besonderen Anlässen getragen."
04cdf7af,de,german-bangla,"Der rote Rock ist so schön wie der blaue."
04f24fe3,de,german-bangla,"die Stra\xdfenbahn"
05033d87,es,spanish-english,"luna"
05095129,de,german-bangla,"Ich bin müde."
0573fe41,es,spanish-bangla,"Me llamo Rahim. Soy de Bangladés."
057a53be,de,german-bangla,"Der Zug f\xe4hrt um zehn Uhr ab."
0614ba72,es,spanish-bangla,"trece"
06233fea,de,german-bangla,"wohnen"
0693838c,de,german-bangla,"Die Kinder spielen."
0698db76,de,german-bangla,"Mit meinen Augen kann ich sehen."
06bde776,es,spanish-bangla,"Los estudiantes son inteligentes y trabajadores."
06e89fac,de,german-bangla,"die Bücher"
06f8a794,de,german-bangla,"Im Wohnzimmer gibt es ein Sofa."
07462138,es,spanish-bangla,"Carmen está en casa."
079dc48c,de,german-english,"ö"
07b2884c,de,german-bangla,"schmerzen"
07d2bcdd,de,german-bangla,"Wann"
07e487ef,es,spanish-bangla,"Estados Unidos, estadounidense"
0822e6e2,de,german-bangla,"das Laufen"
093a4a1d,es,spanish-english,"niño"
09609510,de,german-bangla,"die Jugendherberge"
09e35ff1,de,german-bangla,"eins, zwei, drei"
